,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,449.0648498535156,0.375
0,0,1,0.0,16.40150260925293,0.0
0,0,2,0.25,446.2438659667969,0.375
0,0,3,0.125,405.69683837890625,0.375
0,0,4,0.125,405.3215026855469,0.375
0,0,5,0.0,408.3805236816406,0.25
0,0,6,0.125,306.54827880859375,0.375
0,0,7,0.125,197.25352478027344,0.25
0,0,8,0.25,96.29085540771484,0.5
0,0,9,0.0,37.312068939208984,0.25
0,0,10,0.25,22.259103775024414,0.25
0,0,11,0.125,20.662799835205078,0.25
0,0,12,0.0,19.833614349365234,0.25
0,0,13,0.125,22.141403198242188,0.25
0,0,14,0.125,22.41343879699707,0.5
0,0,15,0.125,22.84067153930664,0.25
0,0,16,0.0,22.328378677368164,0.125
0,0,17,0.125,23.707489013671875,0.125
0,0,18,0.0,15.4251127243042,0.0
0,0,19,0.125,16.056400299072266,0.25
0,0,20,0.0,17.874887466430664,0.25
0,0,21,0.125,21.695531845092773,0.25
0,0,22,0.0,21.434947967529297,0.125
0,0,23,0.25,18.126070022583008,0.5
0,0,24,0.25,18.86886215209961,0.375
0,0,25,0.25,19.616010665893555,0.375
0,0,26,0.125,19.376012802124023,0.375
0,0,27,0.0,20.6259765625,0.125
0,0,28,0.125,17.728416442871094,0.25
0,0,29,0.125,24.003116607666016,0.375
0,0,30,0.0,18.23036766052246,0.25
0,0,31,0.125,21.046621322631836,0.25
0,0,32,0.0,23.99703598022461,0.125
0,0,33,0.125,18.227497100830078,0.25
0,0,34,0.125,18.383445739746094,0.125
0,0,35,0.125,15.216704368591309,0.25
0,0,36,0.125,16.975732803344727,0.375
0,0,37,0.125,17.135791778564453,0.375
0,0,38,0.25,20.771076202392578,0.5
0,0,39,0.125,13.858878135681152,0.625
0,0,40,0.25,14.91298770904541,0.25
0,0,41,0.125,15.836692810058594,0.375
0,0,42,0.0,21.721302032470703,0.5
0,0,43,0.125,19.699342727661133,0.5
0,0,44,0.125,13.565858840942383,0.375
0,0,45,0.0,18.39519500732422,0.125
0,0,46,0.125,16.953866958618164,0.125
0,0,47,0.0,14.66512680053711,0.125
0,0,48,0.0,20.015335083007812,0.375
0,0,49,0.0,23.958707809448242,0.375
0,0,50,0.0,14.085886001586914,0.25
0,0,51,0.0,30.759384155273438,0.5
0,0,52,0.0,16.878772735595703,0.375
0,0,53,0.125,14.415314674377441,0.5
0,0,54,0.125,18.744182586669922,0.375
0,0,55,0.125,21.236955642700195,0.25
0,0,56,0.125,15.75283432006836,0.375
0,0,57,0.0,14.847053527832031,0.5
0,0,58,0.25,10.736542701721191,0.375
0,0,59,0.125,14.437350273132324,0.375
0,0,60,0.125,11.041666984558105,0.5
0,0,61,0.125,12.722616195678711,0.5
0,0,62,0.125,10.644481658935547,0.625
0,0,63,0.25,23.761823654174805,0.625
0,0,64,0.0,13.52946662902832,0.75
0,0,65,0.25,11.623385429382324,0.5
0,0,66,0.125,11.388118743896484,0.75
0,0,67,0.25,19.862443923950195,0.75
0,0,68,0.5,8.176708221435547,0.75
0,0,69,0.125,13.540766716003418,0.625
0,0,70,0.125,14.608221054077148,0.625
0,0,71,0.0,17.10756492614746,0.375
0,0,72,0.25,15.062143325805664,0.625
0,0,73,0.125,10.879748344421387,0.375
0,0,74,0.125,16.16940689086914,0.125
0,0,75,0.125,39.49992370605469,0.375
0,0,76,0.125,14.475826263427734,0.375
0,0,77,0.25,19.521865844726562,0.375
0,0,78,0.125,12.609121322631836,0.375
0,0,79,0.125,12.198084831237793,0.125
0,0,80,0.25,15.457751274108887,0.25
0,0,81,0.25,16.460847854614258,0.625
0,0,82,0.25,15.265878677368164,0.375
0,0,83,0.5,10.44245433807373,0.75
0,0,84,0.25,15.33554744720459,0.375
0,0,85,0.25,16.500656127929688,0.5
0,0,86,0.125,15.715765953063965,0.5
0,0,87,0.25,22.731157302856445,0.5
0,0,88,0.25,16.77841567993164,0.625
0,0,89,0.25,21.442285537719727,0.375
0,0,90,0.375,11.110097885131836,0.5
0,0,91,0.125,19.14042854309082,0.5
0,0,92,0.125,10.929409980773926,0.5
0,0,93,0.125,13.695307731628418,0.75
0,0,94,0.125,11.294181823730469,0.5
0,0,95,0.125,13.010322570800781,0.375
0,0,96,0.25,12.385642051696777,0.5
0,0,97,0.25,18.72980499267578,0.5
0,0,98,0.25,36.80821990966797,0.875
0,0,99,0.25,28.776933670043945,0.625
0,0,100,0.25,9.603509902954102,0.5
0,0,101,0.125,10.465033531188965,0.625
0,0,102,0.125,13.062950134277344,0.5
0,0,103,0.125,10.083051681518555,0.5
0,0,104,0.125,10.607357025146484,0.625
0,0,105,0.0,24.90630531311035,0.5
0,0,106,0.125,8.89675235748291,0.5
0,0,107,0.125,11.788532257080078,0.25
0,0,108,0.125,6.493618488311768,0.75
0,0,109,0.125,12.319144248962402,0.375
0,0,110,0.125,12.787330627441406,0.5
0,0,111,0.25,9.035079002380371,0.5
0,0,112,0.125,8.852946281433105,0.625
0,0,113,0.25,13.159627914428711,0.625
0,0,114,0.25,16.589996337890625,0.5
0,0,115,0.125,27.13113784790039,0.625
0,0,116,0.25,8.33858871459961,0.625
0,0,117,0.375,16.919689178466797,0.625
0,0,118,0.25,43.97456741333008,0.5
0,0,119,0.375,42.53239440917969,0.75
0,0,120,0.25,11.876219749450684,0.5
0,1,0,0.375,11.270344734191895,0.625
0,1,1,0.25,11.766103744506836,0.625
0,1,2,0.125,12.263288497924805,0.5
0,1,3,0.375,14.907114028930664,0.75
0,1,4,0.25,13.034196853637695,0.5
0,1,5,0.375,10.610078811645508,0.625
0,1,6,0.375,11.292155265808105,0.375
0,1,7,0.25,11.579485893249512,0.5
0,1,8,0.5,12.634610176086426,0.75
0,1,9,0.375,14.717511177062988,0.625
0,1,10,0.25,10.666553497314453,0.625
0,1,11,0.375,11.090147018432617,0.5
0,1,12,0.375,11.871508598327637,0.625
0,1,13,0.125,11.935003280639648,0.5
0,1,14,0.375,10.790953636169434,0.625
0,1,15,0.25,11.238044738769531,0.625
0,1,16,0.25,7.946340560913086,0.75
0,1,17,0.375,20.931175231933594,0.75
0,1,18,0.25,24.591140747070312,0.875
0,1,19,0.125,13.789057731628418,0.625
0,1,20,0.125,10.021058082580566,0.5
0,1,21,0.25,17.244651794433594,0.625
0,1,22,0.25,11.599886894226074,0.625
0,1,23,0.375,12.7347412109375,1.0
0,1,24,0.25,12.914828300476074,0.625
0,1,25,0.375,11.97755241394043,0.625
0,1,26,0.375,12.82186508178711,0.625
0,1,27,0.25,11.236711502075195,0.625
0,1,28,0.5,21.583070755004883,1.0
0,1,29,0.125,16.433727264404297,0.375
0,1,30,0.375,14.041967391967773,0.875
0,1,31,0.25,12.893937110900879,0.625
0,1,32,0.25,12.417755126953125,0.625
0,1,33,0.125,19.716590881347656,0.625
0,1,34,0.5,12.404522895812988,0.875
0,1,35,0.5,9.715765953063965,0.875
0,1,36,0.375,12.53952693939209,0.875
0,1,37,0.5,10.450112342834473,0.875
0,1,38,0.625,14.82832145690918,0.75
0,1,39,0.25,12.1531343460083,0.875
0,1,40,0.375,6.5650529861450195,0.75
0,1,41,0.5,6.56328821182251,0.875
0,1,42,0.375,10.592755317687988,0.75
0,1,43,0.75,11.342379570007324,1.0
0,1,44,0.625,6.846415042877197,0.75
0,1,45,0.25,54.39429473876953,0.875
0,1,46,0.125,9.995870590209961,0.625
0,1,47,0.375,11.148911476135254,0.625
0,1,48,0.625,14.644163131713867,0.75
0,1,49,0.375,11.914395332336426,0.5
0,1,50,0.625,30.266273498535156,0.625
0,1,51,0.75,10.985960960388184,0.875
0,1,52,0.375,9.707244873046875,0.75
0,1,53,0.625,11.624812126159668,0.875
0,1,54,0.25,12.060022354125977,0.75
0,1,55,0.375,10.338475227355957,0.75
0,1,56,0.375,6.661411285400391,0.75
0,1,57,0.125,9.116047859191895,0.75
0,1,58,0.625,7.474849700927734,0.875
0,1,59,0.125,8.022579193115234,0.75
0,1,60,0.375,6.875338077545166,0.75
0,1,61,0.25,10.164676666259766,0.75
0,1,62,0.375,7.463531970977783,0.625
0,1,63,0.875,7.498780250549316,1.0
0,1,64,0.25,7.672240734100342,1.0
0,1,65,0.5,10.013288497924805,0.75
0,1,66,0.5,7.090840816497803,0.875
0,1,67,0.375,6.003434658050537,0.875
0,1,68,0.25,8.225018501281738,0.875
0,1,69,0.25,13.349849700927734,0.625
0,1,70,0.125,13.045851707458496,0.75
0,1,71,0.125,15.490372657775879,0.625
0,1,72,0.25,9.508051872253418,0.75
0,1,73,0.25,6.67875337600708,0.75
0,1,74,0.125,18.94485855102539,0.75
0,1,75,0.375,20.765897750854492,0.625
0,1,76,0.375,9.048385620117188,0.75
0,1,77,0.375,8.226914405822754,0.875
0,1,78,0.25,13.375883102416992,0.5
0,1,79,0.125,7.696077346801758,0.75
0,1,80,0.5,9.098311424255371,0.875
0,1,81,0.5,10.048141479492188,0.875
