,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,18.202178955078125,0.125
0,0,1,0.125,16.107532501220703,0.125
0,0,2,0.25,15.698145866394043,0.25
0,0,3,0.25,16.790834426879883,0.25
0,0,4,0.25,19.074411392211914,0.5
0,0,5,0.0,24.22886848449707,0.125
0,0,6,0.125,17.959964752197266,0.125
0,0,7,0.125,11.848135948181152,0.25
0,0,8,0.125,11.986583709716797,0.375
0,0,9,0.25,14.884342193603516,0.25
0,0,10,0.125,24.06294059753418,0.25
0,0,11,0.25,10.065970420837402,0.375
0,0,12,0.0,14.414644241333008,0.125
0,0,13,0.125,13.895041465759277,0.25
0,0,14,0.125,16.635601043701172,0.25
0,0,15,0.125,14.2686767578125,0.25
0,1,0,0.125,13.625733375549316,0.375
0,1,1,0.125,10.368708610534668,0.125
0,1,2,0.25,12.012471199035645,0.375
0,1,3,0.125,11.936413764953613,0.25
0,1,4,0.0,14.290349960327148,0.25
0,1,5,0.0,17.944808959960938,0.125
0,1,6,0.0,14.66218090057373,0.125
0,1,7,0.25,7.097350597381592,0.25
0,1,8,0.0,8.428324699401855,0.0
0,1,9,0.125,10.479952812194824,0.125
0,1,10,0.375,19.344423294067383,0.375
0,1,11,0.25,5.9849138259887695,0.375
0,1,12,0.125,8.90148639678955,0.125
0,1,13,0.125,8.74133014678955,0.125
0,1,14,0.25,11.374641418457031,0.25
0,1,15,0.125,8.349804878234863,0.25
0,2,0,0.125,11.222086906433105,0.25
0,2,1,0.25,7.594066143035889,0.25
0,2,2,0.125,10.074153900146484,0.25
0,2,3,0.0,9.4730224609375,0.25
0,2,4,0.0,10.142731666564941,0.125
0,2,5,0.0,14.406326293945312,0.0
0,2,6,0.0,10.735095977783203,0.125
0,2,7,0.0,5.477014064788818,0.125
0,2,8,0.0,5.253599643707275,0.25
0,2,9,0.125,8.585063934326172,0.375
0,2,10,0.375,15.0751953125,0.625
0,2,11,0.25,3.7762725353240967,0.375
0,2,12,0.125,5.898381233215332,0.25
0,2,13,0.125,6.779760360717773,0.25
0,2,14,0.125,8.970206260681152,0.25
0,2,15,0.0,6.240599632263184,0.25
0,3,0,0.0,9.837719917297363,0.0
0,3,1,0.0,5.944769859313965,0.0
0,3,2,0.125,9.109575271606445,0.125
0,3,3,0.0,8.502304077148438,0.0
0,3,4,0.0,8.30104923248291,0.0
0,3,5,0.0,12.726248741149902,0.0
0,3,6,0.0,9.370543479919434,0.0
0,3,7,0.125,5.0775837898254395,0.25
0,3,8,0.125,3.9338152408599854,0.125
0,3,9,0.0,7.1452813148498535,0.0
0,3,10,0.25,13.245177268981934,0.375
0,3,11,0.125,3.0719428062438965,0.125
0,3,12,0.125,5.07916259765625,0.375
0,3,13,0.125,5.811007499694824,0.125
0,3,14,0.0,7.822250843048096,0.0
0,3,15,0.125,5.774744510650635,0.125
0,4,0,0.0,8.82177734375,0.25
0,4,1,0.125,4.7459235191345215,0.25
0,4,2,0.125,8.355607986450195,0.125
0,4,3,0.125,7.883355140686035,0.125
0,4,4,0.125,7.232916831970215,0.125
0,4,5,0.0,11.220296859741211,0.0
