,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.5,2.1051132678985596,0.75
0,0,1,0.5,2.220062732696533,0.625
0,0,2,0.5,2.0737054347991943,0.875
0,0,3,0.5,2.0758156776428223,0.75
0,0,4,0.375,2.1252102851867676,0.625
0,0,5,0.25,2.204401731491089,0.625
0,0,6,0.75,1.9187413454055786,0.875
0,0,7,0.625,2.0263259410858154,0.75
0,0,8,0.5,2.1185545921325684,0.625
0,0,9,0.625,1.996699333190918,0.75
0,0,10,0.5,2.1040220260620117,0.625
0,0,11,0.625,1.9928432703018188,0.75
0,0,12,0.5,2.2111172676086426,0.625
0,0,13,0.625,1.96201491355896,0.875
0,0,14,0.5,2.0837247371673584,0.75
0,0,15,0.5,2.1510870456695557,0.625
0,1,0,0.25,2.1495351791381836,0.75
0,1,1,0.375,2.1535634994506836,0.625
0,1,2,0.5,2.1069211959838867,0.875
0,1,3,0.25,2.195437431335449,0.75
0,1,4,0.25,2.1427643299102783,0.625
0,1,5,0.25,2.1305477619171143,0.625
0,1,6,0.5,1.9600499868392944,0.875
0,1,7,0.5,2.0852010250091553,0.75
0,1,8,0.5,2.1064000129699707,0.625
0,1,9,0.625,2.0102338790893555,0.75
0,1,10,0.375,2.1525752544403076,0.625
0,1,11,0.625,2.049635410308838,0.75
0,1,12,0.5,2.2013309001922607,0.625
0,1,13,0.875,1.9216676950454712,0.875
0,1,14,0.5,2.1234166622161865,0.75
0,1,15,0.5,2.1262762546539307,0.625
0,2,0,0.25,2.0887413024902344,0.75
0,2,1,0.375,2.200890302658081,0.5
0,2,2,0.375,2.098815679550171,0.75
0,2,3,0.25,2.1641900539398193,0.625
0,2,4,0.125,2.1472630500793457,0.625
0,2,5,0.25,2.190692901611328,0.625
0,2,6,0.5,1.9340873956680298,0.875
0,2,7,0.5,2.0644397735595703,0.75
0,2,8,0.5,2.1149673461914062,0.625
0,2,9,0.5,2.0204317569732666,0.75
0,2,10,0.625,2.0791330337524414,0.625
0,2,11,0.75,2.0228354930877686,0.75
0,2,12,0.5,2.215235948562622,0.625
0,2,13,0.625,1.9419095516204834,0.75
0,2,14,0.5,2.0741677284240723,0.75
0,2,15,0.5,2.1319310665130615,0.625
0,3,0,0.375,2.0016860961914062,0.875
0,3,1,0.5,1.9603872299194336,0.875
0,3,2,0.25,2.1825873851776123,0.875
0,3,3,0.25,2.050355911254883,0.875
0,3,4,0.375,1.9917463064193726,0.75
0,3,5,0.375,1.9705121517181396,0.875
0,3,6,0.25,2.051731824874878,0.75
0,3,7,0.75,1.9068787097930908,1.0
0,3,8,0.5,1.9512754678726196,0.875
0,3,9,0.5,1.9674376249313354,0.875
0,3,10,0.125,2.138685464859009,0.75
0,3,11,0.5,1.8938349485397339,1.0
0,3,12,0.375,2.028365135192871,0.875
0,3,13,0.375,2.0271289348602295,0.875
0,3,14,0.375,2.091437578201294,1.0
0,3,15,0.375,1.9946140050888062,0.875
0,4,0,0.375,2.1660385131835938,1.0
0,4,1,0.5,2.0509579181671143,0.875
0,4,2,0.375,2.2199647426605225,0.875
0,4,3,0.375,2.1527857780456543,1.0
0,4,4,0.125,2.1619813442230225,0.75
0,4,5,0.5,2.0326571464538574,0.875
0,4,6,0.625,2.032640218734741,0.875
0,4,7,0.75,1.9463106393814087,1.0
0,4,8,0.75,1.95435631275177,0.875
0,4,9,0.75,1.9380435943603516,0.875
0,4,10,0.25,2.05975341796875,0.75
0,4,11,0.75,1.9127637147903442,1.0
0,4,12,0.75,2.0286569595336914,0.875
0,4,13,0.75,1.9802089929580688,0.875
0,4,14,0.5,2.0930302143096924,0.875
0,4,15,0.375,2.0456507205963135,0.75
0,5,0,0.625,1.9771714210510254,0.875
0,5,1,0.625,2.004359006881714,0.875
0,5,2,0.5,2.1713831424713135,0.75
0,5,3,0.5,2.0235958099365234,1.0
0,5,4,0.25,2.049809217453003,0.75
0,5,5,0.25,2.035255193710327,0.875
0,5,6,0.25,2.0609428882598877,0.75
